id,mig_year,autumn_locs,autumn_start,autumn_end,spring_locs,spring_start,spring_end,mean_spring,prop_locs_in_mag
REKI_443,2017,68,2017-11-12T06:00:00Z,2017-11-18T19:00:00Z,88,2018-02-18T05:09:00Z,2018-02-24T19:01:00Z,2018-02-21T12:05:00Z,0
REKI_444,2017,433,2017-11-12T09:50:54Z,2017-11-25T18:50:06Z,225,2018-02-11T05:50:11Z,2018-02-17T18:50:08Z,2018-02-14T12:20:09.500Z,0
REKI_449,2017,91,2017-11-26T05:01:00Z,2017-12-16T18:01:00Z,136,2018-02-11T05:01:00Z,2018-02-24T12:00:00Z,2018-02-17T20:30:30Z,0
REKI_451,2017,171,2017-10-15T05:10:00Z,2017-11-04T12:01:00Z,127,2018-01-28T05:09:00Z,2018-02-17T12:05:00Z,2018-02-07T08:37:00Z,0.015748031496063
REKI_455,2017,60,2017-11-12T05:01:00Z,2017-11-18T19:01:00Z,148,2018-02-18T05:09:00Z,2018-03-03T12:01:00Z,2018-02-24T20:35:00Z,0
REKI_456,2017,157,2017-11-26T06:00:00Z,2017-12-23T18:01:00Z,106,2018-01-21T06:00:00Z,2018-02-03T18:00:00Z,2018-01-28T00:00:00Z,0.0660377358490566
REKI_46,2016,305,2016-09-25T04:00:00Z,2016-11-05T19:00:00Z,112,2017-05-14T04:00:00Z,2017-05-20T21:00:00Z,2017-05-17T12:30:00Z,0.0267857142857143
REKI_460,2017,106,2017-10-23T06:00:00Z,2017-11-04T19:01:00Z,272,2018-02-11T05:10:00Z,2018-03-03T17:01:00Z,2018-02-21T11:05:30Z,0
REKI_461,2017,54,2017-11-26T06:00:00Z,2017-12-09T18:01:00Z,48,2018-01-21T05:01:00Z,2018-01-27T18:00:00Z,2018-01-24T11:30:30Z,0.0416666666666667
REKI_463,2017,165,2017-11-26T14:03:00Z,2017-12-23T19:00:00Z,157,2018-02-04T05:10:00Z,2018-02-17T19:01:00Z,2018-02-11T00:05:30Z,0
REKI_469,2020,654,2020-12-06T05:00:32Z,2020-12-31T18:31:16Z,1229,2021-01-03T06:40:08Z,2021-02-20T18:51:55Z,2021-01-27T12:46:01.500Z,0.85348506401138
REKI_470,2019,1317,2019-12-02T09:47:03Z,2019-12-28T18:57:48Z,350,2020-01-26T05:00:15Z,2020-02-01T18:50:13Z,2020-01-29T11:55:14Z,0
REKI_476,2021,212,2021-12-12T09:28:20Z,2021-12-18T20:46:12Z,305,2022-01-30T08:48:38Z,2022-02-05T18:43:43Z,2022-02-02T13:46:10.500Z,0
